State,Total Cities,Total 2010 Population
Alabama,67,4785161
Alaska,29,714021
Arizona,15,6408208
Arkansas,75,2922394
California,58,37334079
Colorado,64,5048254
Connecticut,8,3579717
Delaware,3,899791
Florida,67,605126
Georgia,159,18849890
Hawaii,5,9713454
Idaho,44,1363980
Illinois,102,1570986
Indiana,92,12841249
Iowa,99,6490590
Kansas,105,3050694
Kentucky,120,2858824
Louisiana,64,4347937
Maine,16,4544951
Maryland,24,1327695
Massachusetts,14,5788409
Michigan,83,6565036
Minnesota,87,9877369
Mississippi,82,5310903
Missouri,115,2970316
Montana,56,5996052
Nebraska,93,990643
Nevada,17,1830025
New Hampshire,10,2703440
New Jersey,21,1316708
New Mexico,33,8803881
New York,62,2064741
North Carolina,100,19402920
North Dakota,53,9558979
Ohio,88,674530
Oklahoma,77,11540766
Oregon,36,3759596
Pennsylvania,67,3837972
Rhode Island,5,12712014
South Carolina,46,1053219
South Dakota,66,4635894
Tennessee,95,816299
Texas,254,6356585
Utah,29,25244363
Vermont,14,2775426
Virginia,133,625984
Washington,39,8025787
West Virginia,55,6743060
Wisconsin,72,1854225
Wyoming,23,5690204
